,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed,Screen Size (inch)
0,303.8,2160.0,1440.0,512.0,1.0,8.0,3.8,14.0
1,400.0,1920.0,1080.0,2.0,240.0,8.0,4.2,14.0
2,175.0,1920.0,1080.0,500.0,500.0,16.0,2.4,14.0
3,85.0,1366.0,768.0,16.0,240.0,4.0,2.4,11.6
4,101.25,1366.0,768.0,256.0,256.0,8.0,1.4,12.5
5,50.0,1366.0,768.0,256.0,16.0,4.0,1.6,11.6
6,39.6,1920.0,1080.0,16.0,16.0,4.0,1.6,11.6
7,35.0,1920.0,1080.0,16.0,240.0,2.0,1.0,11.6
8,280.0,1920.0,1080.0,512.0,500.0,16.0,2.8,14.0
9,125.0,1920.0,1080.0,256.0,64.0,8.0,2.1,14.0
10,138.0,1920.0,1080.0,256.0,128.0,16.0,1.7,14.0
11,430.5,1920.0,1080.0,256.0,240.0,8.0,0.0,13.3
12,70.0,1366.0,768.0,256.0,32.0,4.0,1.1,11.6
13,152.0,1920.0,1080.0,256.0,256.0,8.0,2.8,14.1
14,244.0,2160.0,1440.0,512.0,512.0,8.0,3.8,14.0
15,170.0,1920.0,1080.0,128.0,128.0,8.0,0.0,2.0
16,218.0,1920.0,1080.0,256.0,512.0,16.0,1.6,15.6
17,130.0,1366.0,768.0,128.0,128.0,4.0,1.1,11.0
18,40.0,1366.0,768.0,16.0,16.0,4.0,1.6,11.6
19,393.0,1920.0,1080.0,2.0,240.0,8.0,4.2,14.0
20,625.0,2560.0,1600.0,1.0,1.0,32.0,4.4,16.0
21,315.0,1920.0,1080.0,256.0,512.0,16.0,2.3,14.0
22,200.0,1920.0,1080.0,256.0,256.0,8.0,2.6,12.5
23,227.4,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
24,300.0,3000.0,2000.0,256.0,512.0,16.0,1.6,13.0
25,60.0,2160.0,1440.0,128.0,128.0,4.0,1.9,12.0
26,45.0,1366.0,768.0,256.0,16.0,4.0,1.1,11.6
27,439.0,1920.0,1080.0,2.0,2.0,32.0,0.0,15.6
28,206.6,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
29,345.0,1920.0,1080.0,512.0,512.0,16.0,3.1,15.6
30,242.0,1920.0,1080.0,512.0,512.0,16.0,0.0,15.6
31,420.0,1920.0,1080.0,2.0,240.0,8.0,4.2,14.0
32,73.0,1366.0,768.0,256.0,128.0,8.0,1.6,11.6
33,209.0,1920.0,1080.0,256.0,512.0,16.0,2.5,15.6
34,150.0,1920.0,1080.0,256.0,256.0,8.0,0.0,14.1
35,799.0,2560.0,1600.0,256.0,512.0,16.0,3.5,16.0
36,100.0,1920.0,1080.0,256.0,256.0,8.0,1.9,14.0
37,219.0,1920.0,1080.0,512.0,512.0,16.0,0.0,15.61
38,152.5,1366.0,768.0,256.0,256.0,8.0,1.6,14.0
39,269.5,2256.0,1504.0,12.0,512.0,12.0,2.8,13.5
40,130.0,1920.0,1080.0,256.0,256.0,16.0,0.0,14.0
41,489.0,1920.0,1080.0,512.0,512.0,16.0,0.0,15.6
42,120.0,1920.0,1080.0,8.0,240.0,8.0,2.4,14.0
43,550.0,1920.0,1080.0,256.0,512.0,16.0,0.0,17.3
