,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
0,other,$,gray,New,intel,quad core,3.8,GHz,notebook/laptop,windows,ssd,gb,tb,14,gb
1,dell,$,black,Very Good - Refurbished,intel,intel core i7 8th generation,4.2,GHz,notebook/laptop,windows,ssd,tb,unknown,14,unknown
2,dell,$,black,Used,intel,intel core i5-6300u,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
3,hp,$,black,Good - Refurbished,intel,intel celeron n,2.4,GHz,notebook/laptop,chrome,emmc,gb,unknown,11.6,gb
4,dell,$,other,Good - Refurbished,other,intel core i5 6th generation,1.4,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,gb
5,acer,$,black,Undefined,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,unknown,gb,11.6,gb
6,hp,$,black,Undefined,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
7,acer,$,gray,Undefined,other,intel celeron dual-core,1,GHz,notebook/laptop,chrome,unknown,gb,unknown,11.6,gb
8,dell,$,black,Excellent - Refurbished,other,i7 7th,2.8,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
9,hp,$,silver,Undefined,intel,intel core i3 10th generation,2.1,GHz,notebook/laptop,chrome,emmc,unknown,gb,14,gb
10,lenovo,$,black,Used,intel,"8350u,  core i5",1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
11,samsung,$,other,New,other,intel core i5 12th generation,,unknown,other,unknown,unknown,unknown,unknown,13.3,unknown
12,acer,$,silver,Undefined,intel,intel celeron n,1.1,GHz,notebook/laptop,chrome,emmc,unknown,gb,11.6,gb
13,other,$,gray,New,intel,intel celeron processor n4100,2.8,GHz,notebook/laptop,windows,ssd,gb,gb,14.1,gb
14,other,$,gray,New,intel,intel core i5-8259u,3.8,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,14,gb
15,dell,$,black,Used,other,intel core i5 7th generation,,unknown,notebook/laptop,windows,ssd,gb,gb,2,gb
