,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
0,303.8,2160,1440,512,1,8,3.8
1,400,1920,1080,2,,,4.2
2,175,1920,1080,500,500,16,2.4
3,85,1366,768,16,,4,2.4
4,101.25,1366,768,,256,8,1.4
5,50,1366,768,,16,4,1.6
6,39.6,,,16,16,4,1.6
7,35,,,16,,2,1
8,280,1920,1080,512,500,16,2.8
9,125,1920,1080,,64,8,2.1
10,138,1920,1080,,128,16,1.7
11,430.5,,,,,,
12,70,1366,768,,32,4,1.1
13,152,1920,1080,256,256,8,2.8
14,244,2160,1440,512,512,8,3.8
15,170,1920,1080,128,128,8,
16,218,1920,1080,,512,16,1.6
17,130,1366,768,128,128,4,1.1
18,40,1366,768,16,16,4,1.6
19,393,1920,1080,2,,,4.2
20,625,2560,1600,1,1,32,4.4
21,315,1920,1080,,512,16,2.3
22,200,1920,1080,256,256,8,2.6
23,227.4,,,,,,
24,300,3000,2000,,512,16,1.6
25,60,2160,1440,128,128,4,1.9
26,45,1366,768,,16,4,1.1
27,439,1920,1080,2,2,32,o4.2
28,206.6,,,,,,
29,345,1920,1080,512,512,16,3.1
30,242,1920,1080,512,512,16,o3.4
31,420,1920,1080,2,,,4.2
32,73,1366,768,,128,,1.6
33,209,,,,512,16,2.5
34,150,1920,1080,256,256,8,o2.8
35,799,2560,1600,,512,16,3.5
36,100,,,256,256,8,1.9
37,219,1920,1080,512,512,16,o3.9
38,152.5,1366,768,,256,8,1.6
39,269.5,2256,1504,12,512,12,2.8
40,130,,,,256,16,
41,489,1920,1080,512,512,16,o4.5
42,120,1920,1080,8,,8,2.4
43,550,,,,512,16,
44,29.98,1366,768,16,16,16,2.16
45,145,,,,512,8,2.3
46,160,,,256,256,8,2.3
47,85,1366,768,16,16,4,
48,69.6,,,256,256,256,
49,70,1366,768,16,16,4,1.6
50,49,1366,768,16,16,4,1.6
51,130,1920,1080,256,256,8,2.6
52,135,,,,,,
53,81,1366,768,320,120,4,2.5
54,103.75,3000,2000,512,,1,2.6
55,200,1920,1080,,256,8,2.5
56,288,,,,512,,2.8
57,105,1920,1080,256,256,8,2.6
58,39.94,1366,768,16,16,4,1.6
59,90,1366,768,128,128,8,2.3
60,599,1920,1080,1,1,20,4.2
61,800,,,500,500,8,1.73
62,170,,,500,500,16,2.4
63,239,,,,512,16,2.7
64,169,1920,1080,,256,8,1.8
65,290,1920,1080,500,500,32,2.6
66,90,,,,,8,
67,105,,,180,,8,2.6
68,409,2736,1824,,256,8,2.4
69,200,1920,1080,256,256,8,2.4
70,55,1920,1200,,32,,2
71,225,1920,1200,12,512,12,2.8
72,659,1920,1080,,512,8,2.1
73,229,1920,1080,512,512,16,1.7
74,210,,,512,512,16,
75,180,2560,1440,512,512,16,2.6
76,675,2160,1440,,,16,2.4
77,125.94,1366,768,,240,8,2.4
78,90,1366,768,,128,4,2.2
79,271.8,,,,,,
80,999,,,,256,8,1.6
81,229,1920,1080,,256,16,1.7
82,293,1920,1080,256,256,8,1.8
83,185,1920,1080,,512,16,1.7
84,259,1366,768,256,256,8,2.1
85,115,,,,,,
86,41,1366,768,32,32,4,2.48
87,75,1366,768,,128,4,1.1
88,510,,,,256,16,
89,170,1366,768,128,128,4,1.1
90,59.8,,,,,,
91,44.75,1366,768,32,32,4,1.1
92,209,,,,,,
93,180,,,16,16,4,
94,220,1920,1080,500,500,16,2.6
95,260,1920,1080,512,512,16,1.9
96,59.4,,,,,,
97,306.8,,,,,,
