,Touchscreen,Bluetooth,Webcam(Built-In),Microphone(Built-In),Display,WiFi
0,NO,NO,YES,YES,NO,NO
1,NO,YES,YES,YES,YES,YES
2,YES,YES,YES,YES,YES,YES
3,NO,YES,YES,YES,YES,YES
4,NO,NO,YES,YES,NO,YES
5,YES,YES,NO,NO,NO,NO
6,NO,YES,YES,NO,NO,NO
7,NO,NO,NO,NO,NO,NO
8,NO,NO,NO,NO,NO,YES
9,YES,YES,YES,YES,NO,YES
10,NO,NO,YES,YES,NO,NO
11,NO,NO,NO,NO,NO,NO
12,NO,YES,NO,NO,NO,NO
13,NO,NO,NO,NO,NO,YES
14,NO,YES,NO,YES,NO,YES
15,YES,YES,YES,YES,NO,YES
16,YES,YES,YES,NO,NO,YES
17,YES,YES,YES,YES,NO,NO
18,NO,YES,YES,YES,NO,YES
19,NO,YES,YES,YES,YES,YES
20,NO,YES,YES,YES,NO,YES
21,NO,NO,NO,NO,NO,NO
22,NO,YES,YES,YES,NO,NO
23,NO,NO,NO,NO,NO,NO
24,YES,YES,YES,YES,NO,NO
25,NO,NO,NO,NO,NO,NO
26,YES,YES,YES,YES,NO,YES
27,NO,YES,YES,YES,NO,YES
28,NO,NO,NO,NO,NO,NO
29,NO,YES,YES,YES,YES,YES
30,NO,YES,YES,YES,NO,YES
31,NO,YES,YES,YES,YES,YES
32,YES,YES,YES,YES,NO,YES
33,NO,YES,YES,YES,NO,YES
34,NO,YES,YES,YES,NO,YES
35,NO,YES,NO,NO,NO,YES
36,YES,NO,NO,NO,NO,NO
37,NO,NO,YES,NO,NO,NO
38,NO,YES,YES,YES,YES,YES
39,NO,YES,YES,NO,NO,NO
40,YES,NO,YES,YES,NO,NO
41,NO,YES,NO,NO,NO,YES
42,YES,YES,YES,YES,NO,YES
43,NO,NO,NO,NO,NO,NO
44,NO,NO,NO,NO,NO,YES
45,NO,YES,YES,NO,NO,YES
46,NO,NO,NO,NO,NO,NO
47,NO,YES,YES,YES,NO,YES
48,NO,YES,YES,YES,NO,NO
49,YES,YES,YES,YES,YES,YES
50,NO,YES,YES,YES,NO,YES
51,YES,YES,YES,YES,NO,YES
52,NO,NO,NO,NO,NO,NO
53,YES,YES,YES,YES,NO,NO
54,YES,YES,YES,YES,NO,YES
55,NO,YES,YES,YES,NO,YES
56,YES,NO,NO,NO,YES,YES
57,NO,NO,YES,NO,NO,YES
58,NO,YES,YES,YES,NO,YES
59,YES,NO,NO,NO,NO,NO
60,YES,YES,YES,YES,NO,YES
61,NO,NO,NO,NO,NO,NO
62,NO,NO,NO,NO,NO,NO
63,NO,NO,NO,NO,NO,NO
