,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
0,303.8,2160.0,1440.0,512.0,1.0,8.0,3.80
1,400.0,1920.0,1080.0,2.0,,,4.20
2,175.0,1920.0,1080.0,500.0,500.0,16.0,2.40
3,85.0,1366.0,768.0,16.0,,4.0,2.40
4,101.25,1366.0,768.0,,256.0,8.0,1.40
5,50.0,1366.0,768.0,,16.0,4.0,1.60
6,39.6,,,16.0,16.0,4.0,1.60
7,35.0,,,16.0,,2.0,1.00
8,280.0,1920.0,1080.0,512.0,500.0,16.0,2.80
9,125.0,1920.0,1080.0,,64.0,8.0,2.10
10,138.0,1920.0,1080.0,,128.0,16.0,1.70
11,430.5,,,,,,
12,70.0,1366.0,768.0,,32.0,4.0,1.10
13,152.0,1920.0,1080.0,256.0,256.0,8.0,2.80
14,244.0,2160.0,1440.0,512.0,512.0,8.0,3.80
15,170.0,1920.0,1080.0,128.0,128.0,8.0,
16,218.0,1920.0,1080.0,,512.0,16.0,1.60
17,130.0,1366.0,768.0,128.0,128.0,4.0,1.10
18,40.0,1366.0,768.0,16.0,16.0,4.0,1.60
19,393.0,1920.0,1080.0,2.0,,,4.20
20,625.0,2560.0,1600.0,1.0,1.0,32.0,4.40
21,315.0,1920.0,1080.0,,512.0,16.0,2.30
22,200.0,1920.0,1080.0,256.0,256.0,8.0,2.60
23,227.4,,,,,,
24,300.0,3000.0,2000.0,,512.0,16.0,1.60
25,60.0,2160.0,1440.0,128.0,128.0,4.0,1.90
26,45.0,1366.0,768.0,,16.0,4.0,1.10
27,439.0,1920.0,1080.0,2.0,2.0,32.0,o4.2
28,206.6,,,,,,
29,345.0,1920.0,1080.0,512.0,512.0,16.0,3.10
30,242.0,1920.0,1080.0,512.0,512.0,16.0,o3.4
31,420.0,1920.0,1080.0,2.0,,,4.20
32,73.0,1366.0,768.0,,128.0,,1.60
33,209.0,,,,512.0,16.0,2.50
34,150.0,1920.0,1080.0,256.0,256.0,8.0,o2.8
35,799.0,2560.0,1600.0,,512.0,16.0,3.50
36,100.0,,,256.0,256.0,8.0,1.9
37,219.0,1920.0,1080.0,512.0,512.0,16.0,o3.9
38,152.5,1366.0,768.0,,256.0,8.0,1.60
39,269.5,2256.0,1504.0,12.0,512.0,12.0,2.80
40,130.0,,,,256.0,16.0,
41,489.0,1920.0,1080.0,512.0,512.0,16.0,o4.5
42,120.0,1920.0,1080.0,8.0,,8.0,2.40
43,550.0,,,,512.0,16.0,
44,29.98,1366.0,768.0,16.0,16.0,16.0,2.16
45,145.0,,,,512.0,8.0,2.30
46,160.0,,,256.0,256.0,8.0,2.30
47,85.0,1366.0,768.0,16.0,16.0,4.0,
48,69.6,,,256.0,256.0,256.0,
49,70.0,1366.0,768.0,16.0,16.0,4.0,1.6
50,49.0,1366.0,768.0,16.0,16.0,4.0,1.60
51,130.0,1920.0,1080.0,256.0,256.0,8.0,2.60
52,135.0,,,,,,
53,81.0,1366.0,768.0,320.0,120.0,4.0,2.50
54,103.75,3000.0,2000.0,512.0,,1.0,2.60
55,200.0,1920.0,1080.0,,256.0,8.0,2.5
56,288.0,,,,512.0,,2.80
57,105.0,1920.0,1080.0,256.0,256.0,8.0,2.60
58,39.94,1366.0,768.0,16.0,16.0,4.0,1.60
59,90.0,1366.0,768.0,128.0,128.0,8.0,2.30
60,599.0,1920.0,1080.0,1.0,1.0,20.0,4.20
61,800.0,,,500.0,500.0,8.0,1.73
62,170.0,,,500.0,500.0,16.0,2.40
63,239.0,,,,512.0,16.0,2.70
64,169.0,1920.0,1080.0,,256.0,8.0,1.80
65,290.0,1920.0,1080.0,500.0,500.0,32.0,2.60
66,90.0,,,,,8.0,
67,105.0,,,180.0,,8.0,2.60
68,409.0,2736.0,1824.0,,256.0,8.0,2.40
69,200.0,1920.0,1080.0,256.0,256.0,8.0,2.40
70,55.0,1920.0,1200.0,,32.0,,2.00
71,225.0,1920.0,1200.0,12.0,512.0,12.0,2.80
72,659.0,1920.0,1080.0,,512.0,8.0,2.10
73,229.0,1920.0,1080.0,512.0,512.0,16.0,1.70
74,210.0,,,512.0,512.0,16.0,
75,180.0,2560.0,1440.0,512.0,512.0,16.0,2.60
76,675.0,2160.0,1440.0,,,16.0,2.40
77,125.94,1366.0,768.0,,240.0,8.0,2.40
78,90.0,1366.0,768.0,,128.0,4.0,2.20
79,271.8,,,,,,
80,999.0,,,,256.0,8.0,1.60
81,229.0,1920.0,1080.0,,256.0,16.0,1.7
82,293.0,1920.0,1080.0,256.0,256.0,8.0,1.80
83,185.0,1920.0,1080.0,,512.0,16.0,1.70
84,259.0,1366.0,768.0,256.0,256.0,8.0,2.10
85,115.0,,,,,,
86,41.0,1366.0,768.0,32.0,32.0,4.0,2.48
87,75.0,1366.0,768.0,,128.0,4.0,1.10
88,510.0,,,,256.0,16.0,
89,170.0,1366.0,768.0,128.0,128.0,4.0,1.10
90,59.8,,,,,,
91,44.75,1366.0,768.0,32.0,32.0,4.0,1.10
92,209.0,,,,,,
93,180.0,,,16.0,16.0,4.0,
94,220.0,1920.0,1080.0,500.0,500.0,16.0,2.60
95,260.0,1920.0,1080.0,512.0,512.0,16.0,1.90
96,59.4,,,,,,
97,306.8,,,,,,
98,73.0,,,,,,
99,389.8,1280.0,720.0,,480.0,,
100,107.44,,,,,,
101,1179.0,,,,,,
102,300.0,1366.0,768.0,,256.0,12.0,2.00
103,69.0,1280.0,800.0,,240.0,3.0,2.00
104,244.8,1366.0,768.0,,256.0,16.0,1.6
105,10.52,,,,,,
106,370.0,1920.0,1080.0,,256.0,8.0,1.60
107,270.0,1920.0,1200.0,,256.0,8.0,1.20
108,64.6,,,,,,
109,65.06,,,,,,
110,61.6,,,,,,
111,26.05,,,,,,
112,384.5,1280.0,720.0,,480.0,,2.60
113,13.02,,,,,,
114,24.25,,,,,,
115,470.5,1920.0,1080.0,,240.0,,2.80
116,90.0,1920.0,1080.0,128.0,128.0,4.0,1.1
117,420.0,,,256.0,256.0,8.0,
118,7.26,,,,,,
119,199.0,,,,128.0,8.0,1.20
120,200.0,2256.0,1504.0,256.0,256.0,8.0,2.50
121,390.0,1920.0,1080.0,256.0,256.0,8.0,2.40
122,582.5,,,,,,
123,42.3,,,,,,
124,405.5,1280.0,720.0,,240.0,,3.00
125,298.8,,,,,,
126,81.4,,,,,,
127,380.0,,,,,,
128,125.0,1280.0,800.0,160.0,,3.0,2.00
129,111.5,,,,,,
130,78.2,,,,,,
131,32.56,,,,,,
132,250.0,1920.0,1080.0,256.0,256.0,8.0,2.10
133,344.5,,,,,,
134,405.5,1280.0,720.0,,240.0,,3.00
135,140.0,1366.0,768.0,64.0,64.0,4.0,1.10
136,759.0,1920.0,1080.0,256.0,256.0,8.0,
137,1197.0,1920.0,1200.0,,512.0,16.0,1.70
138,400.0,,,,,,
139,96.56,,,,,,
140,26.16,,,,,,
141,425.5,,,,,,
142,461.8,1280.0,720.0,500.0,120.0,,3.00
143,216.0,,,,,,
144,487.5,1920.0,1080.0,,240.0,,2.80
145,449.2,,,,,,
146,487.2,,,,,,
147,530.0,,,,,,
148,354.0,,,,,,
149,859.0,,,,,,
150,1724.0,,,,,,
151,812.0,,,,,,
152,70.3,,,,,,
153,22.34,,,,,,
154,269.5,,,,,4.0,2.50
155,92.1,,,,,,
156,240.2,,,,,,
157,357.0,,,,,,
158,436.0,1280.0,720.0,,240.0,,3.00
159,144.0,1600.0,900.0,240.0,,4.0,2.50
160,430.2,1920.0,1080.0,,240.0,,2.80
161,276.5,,,,,,
162,165.0,,,,,,
163,323.8,1280.0,720.0,,120.0,,2.60
164,88.7,,,,,,
165,110.06,,,,,,
166,475.5,,,,,,
167,48.84,,,,,,
168,627.0,,,,,,
169,443.8,1920.0,1080.0,,240.0,,2.30
170,650.5,,,,,,
171,94.1,,,,,,
172,269.2,,,,,,
173,425.2,,,,,,
174,546.5,,,,,,
175,1752.0,,,,,,
176,2108.0,,,,,,
177,93.75,,,,,,
178,81.9,,,,,,
179,113.75,,,,,,
180,358.8,,,,,,
181,301.5,,,,,,
182,103.2,,,,,,
183,108.06,,,,,,
184,91.2,,,,,,
185,106.56,,,,,,
186,85.75,,,,,,
187,93.25,,,,,,
188,81.6,,,,,,
189,41.5,,,,,,
190,296.8,,,,,,
191,84.2,,,,,,
192,75.0,,,200.0,,4.0,2.70
193,166.2,,,,,,
