,HARDWARE_ID,GPU,RAM_SIZE_UNIT,STORAGE_TYPE,OPERATING_SYSTEM
0,H0,intel,gb,ssd,windows
1,H1,intel,gb,ssd,windows
2,H2,intel,gb,emmc,chrome
3,H3,other,gb,ssd,windows
4,H4,other,gb,ssd,chrome
5,H5,other,gb,ssd,chrome
6,H6,other,gb,unknown,chrome
7,H7,other,gb,ssd,windows
8,H8,intel,gb,emmc,chrome
9,H9,intel,gb,ssd,windows
10,H10,other,unknown,unknown,unknown
11,H11,intel,gb,emmc,chrome
12,H12,intel,gb,ssd,windows
13,H13,intel,gb,hdd/ssd,windows
14,H14,other,gb,ssd,windows
15,H15,intel,gb,ssd,unknown
16,H16,intel,gb,ssd,windows
17,H17,intel,gb,ssd,chrome
18,H18,intel,unknown,ssd,windows
19,H19,other,gb,ssd,windows
20,H20,amd,gb,ssd,windows
21,H21,intel,gb,ssd,windows
22,H22,other,unknown,unknown,unknown
23,H23,intel,gb,ssd,unknown
24,H24,other,gb,ssd,windows
25,H25,intel,mb,emmc,chrome
26,H26,intel,gb,ssd,windows
27,H27,other,unknown,unknown,unknown
28,H28,intel,gb,ssd,windows
29,H29,intel,gb,ssd,windows
30,H30,intel,unknown,ssd,windows
31,H31,other,unknown,ssd,windows
32,H32,intel,gb,ssd,windows
33,H33,intel,gb,ssd,windows
34,H34,nvidia,gb,ssd,windows
35,H35,intel,gb,ssd,unknown
36,H36,other,gb,ssd,windows
37,H37,intel,gb,ssd,windows
38,H38,intel,gb,ssd,windows
39,H39,other,gb,unknown,unknown
40,H40,amd,gb,ssd,windows
41,H41,other,gb,ssd,unknown
42,H42,other,gb,unknown,windows
43,H43,other,gb,ssd,chrome
44,H44,intel,gb,ssd,windows
45,H45,other,gb,ssd,windows
46,H46,intel,gb,emmc,chrome
47,H47,other,gb,ssd,unknown
48,H48,intel,gb,emmc,chrome
49,H49,other,gb,emmc,chrome
50,H50,intel,gb,ssd,windows
51,H51,other,unknown,unknown,unknown
52,H52,other,gb,hdd/ssd,windows
53,H53,other,gb,ssd,unknown
54,H54,nvidia,gb,ssd,windows
55,H55,intel,unknown,ssd,windows
56,H56,other,gb,ssd,windows
57,H57,other,gb,emmc,chrome
58,H58,other,gb,ssd,windows
59,H59,intel,gb,ssd,windows
60,H60,other,gb,hdd/ssd,windows
61,H61,other,gb,ssd,unknown
62,H62,other,gb,ssd,windows
63,H63,intel,gb,unknown,windows
64,H64,intel,gb,ssd,windows
65,H65,other,gb,other,unknown
66,H66,other,gb,unknown,unknown
67,H67,intel,gb,ssd,windows
68,H68,intel,gb,ssd,windows
69,H69,mali,unknown,emmc,chrome
70,H70,amd,gb,ssd,windows
71,H71,nvidia,gb,ssd,windows
72,H72,intel,gb,ssd,unknown
73,H73,other,gb,ssd,unknown
74,H74,intel,gb,ssd,windows
75,H75,other,gb,ssd,windows
76,H76,intel,gb,ssd,windows
77,H77,intel,gb,ssd,windows
78,H78,other,unknown,unknown,unknown
79,H79,other,gb,ssd,unknown
80,H80,other,gb,ssd,windows
81,H81,intel,gb,ssd,windows
82,H82,other,gb,ssd,unknown
83,H83,intel,gb,ssd,windows
84,H84,other,unknown,unknown,linux
85,H85,intel,gb,emmc,chrome
86,H86,other,gb,ssd,windows
87,H87,other,gb,unknown,unknown
88,H88,intel,gb,emmc,windows
89,H89,other,unknown,unknown,unknown
90,H90,other,gb,ssd,chrome
91,H91,other,unknown,unknown,unknown
92,H92,other,gb,ssd,chrome
93,H93,intel,gb,ssd,windows
94,H94,other,gb,ssd,windows
95,H95,other,unknown,unknown,unknown
96,H96,intel,unknown,unknown,unknown
97,H97,other,unknown,unknown,unknown
98,H98,intel,unknown,unknown,windows
99,H99,other,unknown,unknown,unknown
100,H100,other,unknown,unknown,unknown
101,H101,intel,gb,ssd,windows
102,H102,intel,gb,ssd,linux
103,H103,intel,gb,unknown,windows
104,H104,other,unknown,unknown,unknown
105,H105,intel,gb,ssd,windows
106,H106,intel,gb,ssd,windows
107,H107,other,unknown,unknown,unknown
108,H108,other,unknown,unknown,unknown
109,H109,other,unknown,unknown,unknown
110,H110,other,unknown,unknown,unknown
111,H111,intel,unknown,unknown,windows
112,H112,other,unknown,unknown,unknown
113,H113,other,unknown,unknown,unknown
114,H114,intel,unknown,unknown,windows
115,H115,intel,gb,ssd,windows
116,H116,other,gb,ssd,windows
117,H117,other,unknown,unknown,unknown
118,H118,intel,gb,ssd,windows
119,H119,intel,gb,ssd,windows
120,H120,intel,gb,ssd,windows
121,H121,other,unknown,unknown,unknown
122,H122,other,unknown,unknown,unknown
123,H123,intel,unknown,ssd,windows
124,H124,intel,unknown,unknown,unknown
125,H125,other,unknown,unknown,unknown
126,H126,other,unknown,unknown,unknown
127,H127,other,gb,hdd/ssd,windows
128,H128,other,unknown,unknown,unknown
129,H129,other,unknown,unknown,unknown
130,H130,other,unknown,unknown,unknown
131,H131,other,gb,ssd,windows
132,H132,intel,unknown,unknown,unknown
133,H133,intel,unknown,ssd,windows
134,H134,intel,gb,ssd,chrome
135,H135,other,gb,ssd,windows
136,H136,intel,gb,ssd,windows
137,H137,other,unknown,unknown,unknown
138,H138,other,unknown,unknown,unknown
139,H139,other,unknown,unknown,unknown
140,H140,intel,unknown,unknown,unknown
141,H141,intel,unknown,hdd/ssd,windows
142,H142,intel,unknown,unknown,unknown
143,H143,intel,unknown,unknown,windows
144,H144,nvidia,unknown,unknown,unknown
