,INFO_ID,BRAND,CURRENCY,COLOR,CONDITIONS,PRICE
0,I0,other,$,gray,New,303.8
1,I1,dell,$,black,Used,175.0
2,I2,hp,$,black,Good - Refurbished,85.0
3,I3,dell,$,other,Good - Refurbished,101.25
4,I4,acer,$,black,Undefined,50.0
5,I5,hp,$,black,Undefined,39.6
6,I6,acer,$,gray,Undefined,35.0
7,I7,dell,$,black,Excellent - Refurbished,280.0
8,I8,hp,$,silver,Undefined,125.0
9,I9,lenovo,$,black,Used,138.0
10,I10,samsung,$,other,New,430.5
11,I11,acer,$,silver,Undefined,70.0
12,I12,other,$,gray,New,152.0
13,I13,other,$,gray,New,244.0
14,I14,dell,$,black,Used,170.0
15,I15,dell,$,black,Used,218.0
16,I16,dell,$,black,Used,130.0
17,I17,acer,$,gray,Used,40.0
18,I18,dell,$,black,Very Good - Refurbished,393.0
19,I19,dell,$,other,Open box,625.0
20,I20,dell,$,silver,Undefined,315.0
21,I21,dell,$,black,Used,200.0
22,I22,other,$,other,Used,227.4
23,I23,hp,$,silver,New,300.0
24,I24,microsoft,$,gray,Used,60.0
25,I25,lenovo,$,black,Undefined,45.0
26,I26,hp,$,silver,New,439.0
27,I27,other,$,other,Used,206.6
28,I28,dell,$,black,Very Good - Refurbished,345.0
29,I29,other,$,gray,New,242.0
30,I30,hp,$,black,Very Good - Refurbished,420.0
31,I31,lenovo,$,black,Used,73.0
32,I32,hp,$,black,Very Good - Refurbished,209.0
33,I33,other,$,gray,New,150.0
34,I34,lenovo,$,gray,Undefined,799.0
35,I35,lenovo,$,brown,Used,100.0
36,I36,dell,$,black,Used,219.0
37,I37,dell,$,black,Used,152.5
38,I38,other,$,gray,New,269.5
39,I39,lenovo,$,black,Used,130.0
40,I40,dell,$,black,New,489.0
41,I41,dell,$,black,Used,120.0
42,I42,lg,$,black,Used,550.0
43,I43,hp,$,multicolor,Used,29.98
44,I44,hp,$,black,Very Good - Refurbished,145.0
45,I45,dell,$,other,Used,160.0
46,I46,hp,$,multicolor,Very Good - Refurbished,85.0
47,I47,microsoft,$,other,For parts or not working,69.6
48,I48,hp,$,black,Used,70.0
49,I49,hp,$,gray,Used,49.0
50,I50,dell,$,black,Used,130.0
51,I51,lenovo,$,other,For parts or not working,135.0
52,I52,lenovo,$,black,Undefined,81.0
53,I53,microsoft,$,silver,Undefined,103.75
54,I54,dell,$,black,Used,200.0
55,I55,dell,$,other,Used,288.0
56,I56,dell,$,black,Used,105.0
57,I57,dell,$,black,Used,39.94
58,I58,lenovo,$,black,Used,90.0
59,I59,lenovo,$,grey,New,599.0
60,I60,other,$,other,Used,800.0
61,I61,dell,$,other,Very Good - Refurbished,170.0
62,I62,dell,$,other,Used,239.0
63,I63,dell,$,silver,Used,169.0
64,I64,hp,$,silver,Very Good - Refurbished,290.0
65,I65,dell,$,black,Used,90.0
66,I66,lenovo,$,other,Used,105.0
67,I67,microsoft,$,silver,Open box,409.0
68,I68,dell,$,black,Used,200.0
69,I69,lenovo,$,gray,Undefined,55.0
70,I70,other,$,silver,New,225.0
71,I71,hp,$,blue,Undefined,659.0
72,I72,dell,$,gray,Used,229.0
73,I73,hp,$,other,Used,210.0
74,I74,lenovo,$,black,Used,180.0
75,I75,other,$,silver,Used,675.0
76,I76,dell,$,black,Very Good - Refurbished,125.94
77,I77,lenovo,$,gray,Used,90.0
78,I78,other,$,other,Very Good - Refurbished,271.8
79,I79,hp,$,other,Used,999.0
80,I80,lenovo,$,other,Used,229.0
81,I81,asus,$,gray,Undefined,293.0
82,I82,dell,$,gray,Used,185.0
83,I83,hp,$,silver,Used,259.0
84,I84,other,$,multicolor,Used,115.0
85,I85,acer,$,gray,Used,41.0
86,I86,dell,$,black,Used,75.0
87,I87,hp,$,silver,Used,510.0
88,I88,lenovo,$,gray,Undefined,170.0
89,I89,other,$,other,For parts or not working,59.8
90,I90,hp,$,gray,Used,44.75
91,I91,dell,$,other,Used,209.0
92,I92,lenovo,$,other,Used,180.0
93,I93,dell,$,other,Excellent - Refurbished,220.0
94,I94,dell,$,other,Excellent - Refurbished,260.0
95,I95,other,$,other,New,59.4
96,I96,other,$,other,Good - Refurbished,306.8
97,I97,lenovo,$,other,New,73.0
98,I98,dell,$,other,Used,389.8
99,I99,other,$,other,Used,107.44
100,I100,other,$,other,Used,1179.0
101,I101,dell,$,black,Used,300.0
102,I102,hp,$,multicolor,Used,69.0
103,I103,lenovo,$,black,Used,244.8
104,I104,other,$,other,Used,10.52
105,I105,lenovo,$,black,Undefined,370.0
106,I106,lenovo,$,gray,Undefined,270.0
107,I107,other,$,other,New,64.6
108,I108,other,$,other,New,65.06
109,I109,lenovo,$,other,New,61.6
110,I110,other,$,other,Used,26.05
111,I111,dell,$,other,Used,384.5
112,I112,other,$,other,New,13.02
113,I113,dell,$,other,Used,24.25
114,I114,dell,$,other,Used,470.5
115,I115,acer,$,silver,Used,90.0
116,I116,other,$,other,New,420.0
117,I117,other,$,other,Used,7.26
118,I118,dell,$,other,Used,199.0
119,I119,microsoft,$,silver,Undefined,200.0
120,I120,hp,$,silver,New,390.0
121,I121,other,$,other,Used,582.5
122,I122,other,$,other,New,42.3
123,I123,other,$,other,Used,405.5
124,I124,other,$,other,Used,298.8
125,I125,other,$,other,Used,81.4
126,I126,other,$,other,Used,380.0
127,I127,dell,$,black,Used,125.0
128,I128,other,$,other,New,111.5
129,I129,other,$,other,Undefined,78.2
130,I130,other,$,other,Used,32.56
131,I131,lenovo,$,black,Undefined,250.0
132,I132,other,$,black,Seller refurbished,344.5
133,I133,other,$,other,Used,405.5
134,I134,hp,$,silver,Undefined,140.0
135,I135,hp,$,other,Undefined,759.0
136,I136,lenovo,$,other,Undefined,1197.0
137,I137,dell,$,other,Used,400.0
138,I138,other,$,other,New,96.56
139,I139,other,$,other,New,26.16
140,I140,other,$,other,Used,425.5
141,I141,lenovo,$,other,Used,461.8
142,I142,other,$,black,Seller refurbished,216.0
143,I143,dell,$,other,Used,487.5
144,I144,other,$,black,Seller refurbished,449.2
145,I145,other,$,other,Used,487.2
146,I146,other,$,other,Seller refurbished,530.0
147,I147,other,$,other,Seller refurbished,354.0
148,I148,other,$,other,Used,859.0
149,I149,other,$,other,Seller refurbished,1724.0
150,I150,other,$,other,Used,812.0
151,I151,auo,$,other,New,70.3
152,I152,other,$,other,For parts or not working,22.34
153,I153,other,$,other,Used,269.5
154,I154,other,$,other,New,92.1
155,I155,other,$,other,Excellent - Refurbished,240.2
156,I156,other,$,black,Seller refurbished,357.0
157,I157,other,$,other,Used,436.0
158,I158,dell,$,other,Used,144.0
159,I159,dell,$,black,Used,430.2
160,I160,other,$,other,Seller refurbished,276.5
161,I161,other,$,other,New,165.0
162,I162,dell,$,black,Used,323.8
163,I163,other,$,other,New,88.7
164,I164,other,$,other,New,110.06
165,I165,other,$,other,Seller refurbished,475.5
166,I166,other,$,other,Used,48.84
167,I167,other,$,other,Used,627.0
168,I168,dell,$,black,Used,443.8
169,I169,other,$,other,Seller refurbished,650.5
170,I170,other,$,other,New,94.1
171,I171,other,$,black,Used,269.2
172,I172,other,$,other,Excellent - Refurbished,425.2
173,I173,other,$,other,Seller refurbished,546.5
174,I174,other,$,other,Used,1752.0
175,I175,other,$,black,Seller refurbished,2108.0
176,I176,lg,$,other,New,93.75
177,I177,other,$,other,New,81.9
178,I178,other,$,other,New,113.75
179,I179,other,$,other,Used,358.8
180,I180,other,$,other,Used,301.5
181,I181,other,$,other,New,103.2
182,I182,other,$,other,New,108.06
183,I183,other,$,other,New,91.2
184,I184,other,$,other,New,106.56
185,I185,other,$,other,New,85.75
186,I186,lg,$,other,New,93.25
187,I187,other,$,other,New,81.6
188,I188,other,$,other,New,41.5
189,I189,other,$,other,New,296.8
190,I190,other,$,other,New,84.2
191,I191,dell,$,silver,Used,75.0
192,I192,other,$,other,New,166.2
193,I193,lenovo,$,other,Seller refurbished,456.8
194,I194,other,$,other,Seller refurbished,959.0
195,I195,other,$,other,Used,27.12
196,I196,dell,$,other,Used,314.5
197,I197,dell,$,other,Used,400.2
198,I198,dell,$,black,Used,214.8
199,I199,lenovo,$,other,Seller refurbished,708.0
200,I200,other,$,black,Seller refurbished,326.2
201,I201,other,$,other,Used,329.8
202,I202,other,$,other,New,110.0
203,I203,other,$,other,Used,304.5
204,I204,other,$,other,New,162.8
205,I205,acer,$,other,New,67.06
206,I206,other,$,black,Seller refurbished,382.0
207,I207,other,$,other,Undefined,85.7
208,I208,other,$,other,Seller refurbished,651.5
209,I209,other,$,other,New,104.94
210,I210,other,$,other,Used,1703.0
211,I211,other,$,black,Undefined,127.75
212,I212,other,$,other,Seller refurbished,1291.0
213,I213,other,$,other,Seller refurbished,731.5
214,I214,other,$,other,Used,827.0
215,I215,other,$,other,Used,310.8
216,I216,other,$,other,Used,335.8
217,I217,other,$,other,Used,203.0
218,I218,other,$,other,New,101.0
219,I219,other,$,other,New,62.94
220,I220,other,$,other,Undefined,116.25
221,I221,other,$,other,New,20.78
222,I222,other,$,other,New,104.44
223,I223,other,$,other,Seller refurbished,667.5
224,I224,other,$,black,Seller refurbished,332.0
225,I225,other,$,other,Used,339.2
226,I226,other,$,other,New,131.2
227,I227,other,$,other,New,29.86
228,I228,lenovo,$,black,Used,1132.0
229,I229,other,$,other,New,60.78
230,I230,lenovo,$,other,Used,453.8
231,I231,samsung,$,other,New,70.0
232,I232,other,$,black,Seller refurbished,354.0
233,I233,other,$,other,Used,571.5
234,I234,dell,$,other,Used,283.2
235,I235,other,$,other,Good - Refurbished,318.2
236,I236,other,$,other,Used,100.1
237,I237,other,$,black,Used,325.8
238,I238,other,$,other,New,47.0
239,I239,other,$,other,Seller refurbished,338.8
240,I240,other,$,other,Seller refurbished,445.8
241,I241,other,$,other,Used,596.5
242,I242,other,$,other,Undefined,117.06
243,I243,other,$,black,Seller refurbished,342.2
244,I244,lenovo,$,other,Used,639.0
245,I245,other,$,other,New,89.25
246,I246,other,$,other,Seller refurbished,512.0
247,I247,other,$,other,Used,335.8
248,I248,dell,$,other,Used,559.5
249,I249,dell,$,other,Used,352.5
250,I250,other,$,other,Used,341.8
251,I251,lenovo,$,black,Used,691.5
252,I252,other,$,other,Used,405.2
253,I253,lg,$,other,New,95.0
254,I254,other,$,other,New,116.56
255,I255,other,$,other,For parts or not working,21.8
256,I256,lenovo,$,black,Used,626.0
257,I257,other,$,other,Seller refurbished,481.8
258,I258,dell,$,other,Used,389.8
259,I259,other,$,other,Used,516.0
260,I260,other,$,other,New,85.06
261,I261,other,$,other,Seller refurbished,500.5
262,I262,other,$,black,Seller refurbished,462.2
263,I263,other,$,other,New,28.8
264,I264,other,$,other,Seller refurbished,491.0
265,I265,dell,$,other,Used,392.0
266,I266,other,$,black,Used,383.5
267,I267,dell,$,black,Used,568.5
268,I268,other,$,black,Used,573.0
269,I269,other,$,other,New,142.9
270,I270,other,$,other,Used,10.85
271,I271,other,$,other,New,80.75
272,I272,other,$,other,Used,23.88
273,I273,other,$,other,Used,251.6
274,I274,dell,$,other,Used,451.5
275,I275,other,$,other,New,80.5
276,I276,other,$,other,Seller refurbished,478.5
277,I277,other,$,other,Seller refurbished,766.0
278,I278,dell,$,gray,Undefined,221.2
279,I279,other,$,black,Seller refurbished,399.0
280,I280,lenovo,$,other,New,45.1
281,I281,auo,$,other,New,92.5
282,I282,dell,$,black,Used,1463.0
283,I283,other,$,other,Used,373.0
284,I284,dell,$,other,Used,416.2
285,I285,other,$,other,Used,394.8
286,I286,other,$,other,New,382.0
287,I287,dell,$,other,Used,293.2
288,I288,other,$,black,Used,783.5
289,I289,other,$,black,Used,727.0
290,I290,hp,$,silver,New,699.0
291,I291,other,$,other,Seller refurbished,391.5
292,I292,other,$,other,Seller refurbished,411.5
293,I293,other,$,other,Seller refurbished,229.6
294,I294,other,$,other,Undefined,199.9
295,I295,lenovo,$,black,Undefined,542.5
296,I296,other,$,other,Seller refurbished,548.5
297,I297,other,$,other,New,655.5
298,I298,lenovo,$,other,Used,464.5
299,I299,dell,$,black,Used,334.2
300,I300,other,$,other,New,112.2
301,I301,other,$,other,New,114.5
302,I302,other,$,other,New,123.2
303,I303,other,$,black,Seller refurbished,457.2
304,I304,other,$,other,New,89.6
305,I305,other,$,other,New,58.56
306,I306,other,$,other,New,130.4
307,I307,other,$,other,Used,318.0
308,I308,other,$,other,New,88.25
309,I309,lg,$,other,New,103.25
310,I310,other,$,other,New,2506.0
311,I311,other,$,other,New,309.2
312,I312,other,$,other,Seller refurbished,526.0
313,I313,other,$,black,Seller refurbished,543.5
314,I314,other,$,black,Seller refurbished,2288.0
315,I315,other,$,other,Used,377.8
316,I316,other,$,other,Used,382.5
317,I317,dell,$,other,Used,307.2
318,I318,lg,$,other,New,86.1
319,I319,other,$,other,Used,1077.0
320,I320,other,$,other,New,58.62
321,I321,other,$,other,New,53.16
322,I322,other,$,other,Undefined,85.25
323,I323,other,$,other,Seller refurbished,363.2
324,I324,auo,$,other,New,91.7
325,I325,lenovo,$,other,Used,449.8
326,I326,other,$,other,Used,289.0
327,I327,other,$,black,Seller refurbished,313.2
328,I328,other,$,other,For parts or not working,22.06
329,I329,other,$,black,Seller refurbished,374.5
330,I330,other,$,other,Undefined,59.22
331,I331,dell,$,other,Used,272.0
332,I332,other,$,other,Undefined,39.12
333,I333,other,$,other,New,45.1
334,I334,other,$,other,For parts or not working,27.94
335,I335,dell,$,other,Seller refurbished,469.0
336,I336,hp,$,other,Used,200.0
337,I337,other,$,other,New,107.6
338,I338,dell,$,other,Used,652.0
339,I339,dell,$,other,Used,422.5
340,I340,other,$,other,New,79.4
341,I341,other,$,other,Undefined,27.58
342,I342,dell,$,other,Used,235.0
343,I343,other,$,black,Seller refurbished,571.5
344,I344,other,$,other,Used,526.5
345,I345,dell,$,black,Used,214.8
346,I346,other,$,other,New,103.5
347,I347,other,$,other,New,485.5
348,I348,auo,$,other,New,60.06
349,I349,acer,$,other,Undefined,93.9
350,I350,samsung,$,other,New,113.25
351,I351,other,$,other,New,32.44
352,I352,other,$,other,New,46.06
353,I353,other,$,other,Used,336.2
354,I354,other,$,black,Seller refurbished,426.0
355,I355,other,$,black,Seller refurbished,303.8
356,I356,other,$,other,New,63.7
357,I357,other,$,other,New,460.0
358,I358,other,$,other,Used,380.0
359,I359,other,$,black,Used,394.0
360,I360,other,$,other,Used,75.94
361,I361,other,$,other,New,203.8
362,I362,other,$,other,Undefined,81.6
363,I363,other,$,other,New,85.25
364,I364,lenovo,$,black,Used,319.5
365,I365,other,$,black,New,3156.0
366,I366,other,$,other,Used,339.5
367,I367,other,$,other,New,440.2
368,I368,dell,$,black,Used,381.5
369,I369,dell,$,other,Used,314.5
370,I370,dell,$,black,Used,408.2
371,I371,lg,$,other,New,91.3
372,I372,other,$,other,Used,481.0
373,I373,other,$,other,Used,222.9
374,I374,other,$,other,New,128.5
375,I375,other,$,other,Used,408.5
376,I376,other,$,black,Seller refurbished,488.8
377,I377,other,$,other,New,28.98
378,I378,other,$,other,New,94.4
379,I379,other,$,other,New,125.94
380,I380,other,$,other,Used,361.8
381,I381,other,$,other,New,130.0
382,I382,other,$,other,Seller refurbished,2130.0
383,I383,dell,$,black,Used,462.8
384,I384,other,$,other,New,105.0
385,I385,other,$,other,Seller refurbished,2270.0
386,I386,other,$,other,New,26.52
387,I387,lenovo,$,black,Used,1701.0
388,I388,dell,$,black,Used,477.8
389,I389,other,$,other,New,117.44
390,I390,samsung,$,other,New,55.12
391,I391,other,$,other,New,104.7
392,I392,other,$,other,Undefined,28.8
393,I393,auo,$,other,New,50.78
394,I394,other,$,other,Used,84.9
395,I395,other,$,other,Used,721.0
396,I396,lenovo,$,gray,Used,607.0
397,I397,other,$,other,Used,416.2
398,I398,other,$,other,Seller refurbished,737.0
399,I399,samsung,$,other,Undefined,90.06
400,I400,other,$,other,Undefined,64.0
401,I401,other,$,other,Undefined,48.66
402,I402,lg,$,other,New,92.1
403,I403,dell,$,other,Used,485.8
404,I404,other,$,other,Used,462.0
405,I405,other,$,other,Used,377.8
406,I406,lg,$,other,New,112.25
407,I407,other,$,other,New,92.6
408,I408,other,$,other,Seller refurbished,379.0
409,I409,auo,$,other,New,92.1
410,I410,other,$,other,New,310.5
411,I411,lenovo,$,other,New,72.2
412,I412,other,$,other,New,128.1
413,I413,other,$,other,New,45.28
414,I414,other,$,other,New,124.25
415,I415,other,$,other,New,108.75
416,I416,other,$,other,New,106.6
417,I417,lg,$,other,New,90.75
418,I418,other,$,other,New,234.0
419,I419,other,$,other,Seller refurbished,2080.0
420,I420,other,$,other,Seller refurbished,2146.0
421,I421,other,$,other,New,82.2
422,I422,auo,$,other,New,74.3
423,I423,other,$,other,New,198.4
424,I424,other,$,other,Used,431.5
425,I425,other,$,black,Seller refurbished,570.0
426,I426,dell,$,other,Used,458.8
427,I427,other,$,other,Undefined,123.06
428,I428,auo,$,other,New,89.9
429,I429,other,$,other,New,114.9
430,I430,other,$,other,Undefined,275.8
431,I431,other,$,other,Used,377.8
432,I432,other,$,other,New,70.0
433,I433,other,$,other,New,52.84
434,I434,other,$,other,Seller refurbished,197.2
435,I435,other,$,black,Seller refurbished,411.5
436,I436,dell,$,other,Used,362.5
437,I437,dell,$,black,Used,180.0
438,I438,other,$,other,Undefined,58.62
439,I439,other,$,other,Good - Refurbished,310.0
440,I440,other,$,other,New,119.06
441,I441,other,$,other,New,126.25
442,I442,other,$,other,Used,21.7
443,I443,other,$,other,New,100.4
444,I444,samsung,$,other,New,142.0
445,I445,lenovo,$,other,Used,567.5
446,I446,other,$,other,Used,13.02
447,I447,dell,$,other,Used,483.0
