,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY,DISPLAY,WEBCAM(BUILT-IN)
0,S0,14.0,gray,2160.0,1440.0,NO,YES
1,S1,14.0,black,1920.0,1080.0,YES,YES
2,S2,11.6,black,1366.0,768.0,YES,YES
3,S3,12.5,other,1366.0,768.0,YES,YES
4,S4,11.6,black,1366.0,768.0,NO,YES
5,S5,11.6,black,1920.0,1080.0,NO,NO
6,S6,11.6,gray,1920.0,1080.0,NO,YES
7,S7,14.0,black,1920.0,1080.0,NO,NO
8,S8,14.0,silver,1920.0,1080.0,NO,NO
9,S9,14.0,black,1920.0,1080.0,NO,YES
10,S10,13.3,other,1920.0,1080.0,NO,YES
11,S11,11.6,silver,1366.0,768.0,NO,NO
12,S12,14.1,gray,1920.0,1080.0,NO,NO
13,S13,14.0,gray,2160.0,1440.0,NO,NO
14,S14,2.0,black,1920.0,1080.0,NO,NO
15,S15,15.6,black,1920.0,1080.0,NO,YES
16,S16,11.0,black,1366.0,768.0,NO,YES
17,S17,11.6,gray,1366.0,768.0,NO,YES
18,S18,14.0,black,1920.0,1080.0,NO,YES
19,S19,16.0,other,2560.0,1600.0,YES,YES
20,S20,14.0,silver,1920.0,1080.0,NO,YES
21,S21,12.5,black,1920.0,1080.0,NO,NO
22,S22,8.43,other,1920.0,1080.0,NO,YES
23,S23,13.0,silver,3000.0,2000.0,NO,NO
24,S24,12.0,gray,2160.0,1440.0,NO,YES
25,S25,11.6,black,1366.0,768.0,NO,NO
26,S26,15.6,silver,1920.0,1080.0,NO,YES
27,S27,8.43,other,1920.0,1080.0,NO,YES
28,S28,15.6,black,1920.0,1080.0,NO,NO
29,S29,15.6,gray,1920.0,1080.0,YES,YES
30,S30,14.0,black,1920.0,1080.0,NO,YES
31,S31,11.6,black,1366.0,768.0,YES,YES
32,S32,15.6,black,1920.0,1080.0,NO,YES
33,S33,14.1,gray,1920.0,1080.0,NO,YES
34,S34,16.0,gray,2560.0,1600.0,NO,YES
35,S35,14.0,brown,1920.0,1080.0,NO,NO
36,S36,15.61,black,1920.0,1080.0,NO,NO
