GPU,STORAGE_TYPE,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,MICROPHONE(BUILT-IN)
intel,ssd,windows,NO,NO,YES
intel,ssd,windows,NO,YES,YES
intel,emmc,chrome,YES,YES,YES
other,ssd,windows,NO,YES,YES
other,ssd,chrome,NO,NO,YES
other,ssd,chrome,YES,YES,NO
other,unknown,chrome,NO,YES,NO
other,ssd,windows,NO,NO,NO
intel,emmc,chrome,NO,NO,NO
intel,ssd,windows,YES,YES,YES
other,unknown,unknown,NO,NO,YES
intel,emmc,chrome,NO,NO,NO
intel,ssd,windows,NO,YES,NO
intel,hdd/ssd,windows,NO,NO,NO
other,ssd,windows,NO,YES,YES
intel,ssd,unknown,YES,YES,YES
intel,ssd,windows,YES,YES,NO
intel,ssd,chrome,YES,YES,YES
intel,ssd,windows,NO,YES,YES
other,ssd,windows,NO,YES,YES
amd,ssd,windows,NO,YES,YES
intel,ssd,windows,NO,NO,NO
other,unknown,unknown,NO,YES,YES
intel,ssd,unknown,NO,NO,NO
other,ssd,windows,YES,YES,YES
intel,emmc,chrome,NO,NO,NO
intel,ssd,windows,YES,YES,YES
other,unknown,unknown,NO,YES,YES
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,NO,YES,YES
intel,ssd,windows,NO,YES,YES
other,ssd,windows,NO,YES,YES
intel,ssd,windows,YES,YES,YES
intel,ssd,windows,NO,YES,YES
nvidia,ssd,windows,NO,YES,YES
intel,ssd,unknown,NO,YES,NO
other,ssd,windows,YES,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,NO,YES,YES
other,unknown,unknown,NO,YES,NO
amd,ssd,windows,YES,NO,YES
other,ssd,unknown,NO,YES,NO
other,unknown,windows,YES,YES,YES
other,ssd,chrome,NO,NO,NO
intel,ssd,windows,NO,NO,NO
other,ssd,windows,NO,YES,NO
intel,emmc,chrome,NO,NO,NO
other,ssd,unknown,NO,YES,YES
intel,emmc,chrome,NO,YES,YES
other,emmc,chrome,YES,YES,YES
intel,ssd,windows,NO,YES,YES
other,unknown,unknown,YES,YES,YES
other,hdd/ssd,windows,NO,NO,NO
other,ssd,unknown,YES,YES,YES
nvidia,ssd,windows,YES,YES,YES
intel,ssd,windows,NO,YES,YES
other,ssd,windows,YES,NO,NO
other,emmc,chrome,NO,NO,NO
other,ssd,windows,NO,YES,YES
intel,ssd,windows,YES,NO,NO
other,hdd/ssd,windows,YES,YES,YES
other,ssd,unknown,NO,NO,NO
other,ssd,windows,NO,NO,NO
intel,unknown,windows,NO,NO,NO
intel,ssd,windows,NO,YES,YES
other,other,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,YES,YES,NO
mali,emmc,chrome,YES,YES,YES
amd,ssd,windows,YES,YES,YES
nvidia,ssd,windows,NO,YES,YES
intel,ssd,unknown,NO,NO,NO
other,ssd,unknown,NO,YES,NO
intel,ssd,windows,NO,NO,NO
other,ssd,windows,NO,YES,NO
intel,ssd,windows,YES,YES,YES
intel,ssd,windows,NO,YES,YES
other,unknown,unknown,NO,YES,YES
other,ssd,unknown,NO,NO,NO
other,ssd,windows,NO,NO,NO
intel,ssd,windows,NO,YES,YES
other,ssd,unknown,NO,YES,YES
intel,ssd,windows,NO,YES,NO
other,unknown,linux,YES,YES,YES
intel,emmc,chrome,NO,NO,NO
other,ssd,windows,YES,NO,NO
other,unknown,unknown,YES,NO,NO
intel,emmc,windows,NO,NO,NO
other,unknown,unknown,NO,YES,YES
other,ssd,chrome,NO,NO,NO
other,unknown,unknown,YES,YES,NO
other,ssd,chrome,NO,NO,NO
intel,ssd,windows,NO,NO,NO
other,ssd,windows,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,windows,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,linux,YES,YES,NO
intel,unknown,windows,NO,NO,YES
other,unknown,unknown,NO,YES,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,YES,NO,NO
other,unknown,unknown,YES,YES,YES
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,windows,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,windows,NO,NO,NO
intel,ssd,windows,YES,YES,NO
other,ssd,windows,NO,YES,YES
other,unknown,unknown,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,windows,YES,YES,NO
other,unknown,unknown,NO,YES,YES
other,unknown,unknown,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,unknown,unknown,NO,YES,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,hdd/ssd,windows,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,unknown,unknown,NO,NO,NO
other,ssd,windows,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,ssd,windows,NO,NO,NO
intel,ssd,chrome,NO,YES,NO
other,ssd,windows,NO,YES,YES
intel,ssd,windows,NO,YES,YES
other,unknown,unknown,NO,YES,NO
other,unknown,unknown,YES,NO,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,hdd/ssd,windows,NO,NO,NO
intel,unknown,unknown,NO,YES,NO
intel,unknown,windows,NO,NO,NO
nvidia,unknown,unknown,YES,YES,NO
other,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
intel,unknown,unknown,NO,NO,NO
