BRAND,COLOR,CONDITIONS,PRICE
other,gray,New,303.8
dell,black,Used,175.0
hp,black,Good - Refurbished,85.0
dell,other,Good - Refurbished,101.25
acer,black,Undefined,50.0
hp,black,Undefined,39.6
acer,gray,Undefined,35.0
dell,black,Excellent - Refurbished,280.0
hp,silver,Undefined,125.0
lenovo,black,Used,138.0
samsung,other,New,430.5
acer,silver,Undefined,70.0
other,gray,New,152.0
other,gray,New,244.0
dell,black,Used,170.0
dell,black,Used,218.0
dell,black,Used,130.0
acer,gray,Used,40.0
dell,black,Very Good - Refurbished,393.0
dell,other,Open box,625.0
dell,silver,Undefined,315.0
dell,black,Used,200.0
other,other,Used,227.4
hp,silver,New,300.0
microsoft,gray,Used,60.0
lenovo,black,Undefined,45.0
hp,silver,New,439.0
other,other,Used,206.6
dell,black,Very Good - Refurbished,345.0
other,gray,New,242.0
hp,black,Very Good - Refurbished,420.0
lenovo,black,Used,73.0
hp,black,Very Good - Refurbished,209.0
other,gray,New,150.0
lenovo,gray,Undefined,799.0
lenovo,brown,Used,100.0
dell,black,Used,219.0
dell,black,Used,152.5
other,gray,New,269.5
lenovo,black,Used,130.0
dell,black,New,489.0
dell,black,Used,120.0
lg,black,Used,550.0
hp,multicolor,Used,29.98
hp,black,Very Good - Refurbished,145.0
dell,other,Used,160.0
hp,multicolor,Very Good - Refurbished,85.0
microsoft,other,For parts or not working,69.6
hp,black,Used,70.0
hp,gray,Used,49.0
dell,black,Used,130.0
lenovo,other,For parts or not working,135.0
lenovo,black,Undefined,81.0
microsoft,silver,Undefined,103.75
dell,black,Used,200.0
dell,other,Used,288.0
dell,black,Used,105.0
dell,black,Used,39.94
lenovo,black,Used,90.0
lenovo,grey,New,599.0
other,other,Used,800.0
dell,other,Very Good - Refurbished,170.0
dell,other,Used,239.0
dell,silver,Used,169.0
hp,silver,Very Good - Refurbished,290.0
dell,black,Used,90.0
lenovo,other,Used,105.0
microsoft,silver,Open box,409.0
dell,black,Used,200.0
lenovo,gray,Undefined,55.0
other,silver,New,225.0
hp,blue,Undefined,659.0
dell,gray,Used,229.0
hp,other,Used,210.0
lenovo,black,Used,180.0
other,silver,Used,675.0
dell,black,Very Good - Refurbished,125.94
lenovo,gray,Used,90.0
other,other,Very Good - Refurbished,271.8
hp,other,Used,999.0
lenovo,other,Used,229.0
asus,gray,Undefined,293.0
dell,gray,Used,185.0
hp,silver,Used,259.0
other,multicolor,Used,115.0
acer,gray,Used,41.0
dell,black,Used,75.0
hp,silver,Used,510.0
lenovo,gray,Undefined,170.0
other,other,For parts or not working,59.8
hp,gray,Used,44.75
dell,other,Used,209.0
lenovo,other,Used,180.0
dell,other,Excellent - Refurbished,220.0
dell,other,Excellent - Refurbished,260.0
other,other,New,59.4
other,other,Good - Refurbished,306.8
lenovo,other,New,73.0
dell,other,Used,389.8
other,other,Used,107.44
other,other,Used,1179.0
dell,black,Used,300.0
hp,multicolor,Used,69.0
lenovo,black,Used,244.8
other,other,Used,10.52
lenovo,black,Undefined,370.0
lenovo,gray,Undefined,270.0
other,other,New,64.6
other,other,New,65.06
lenovo,other,New,61.6
other,other,Used,26.05
dell,other,Used,384.5
other,other,New,13.02
dell,other,Used,24.25
dell,other,Used,470.5
acer,silver,Used,90.0
other,other,New,420.0
other,other,Used,7.26
dell,other,Used,199.0
microsoft,silver,Undefined,200.0
hp,silver,New,390.0
other,other,Used,582.5
other,other,New,42.3
other,other,Used,405.5
other,other,Used,298.8
other,other,Used,81.4
other,other,Used,380.0
dell,black,Used,125.0
other,other,New,111.5
other,other,Undefined,78.2
other,other,Used,32.56
lenovo,black,Undefined,250.0
other,black,Seller refurbished,344.5
other,other,Used,405.5
hp,silver,Undefined,140.0
hp,other,Undefined,759.0
lenovo,other,Undefined,1197.0
dell,other,Used,400.0
other,other,New,96.56
other,other,New,26.16
other,other,Used,425.5
lenovo,other,Used,461.8
other,black,Seller refurbished,216.0
dell,other,Used,487.5
other,black,Seller refurbished,449.2
other,other,Used,487.2
other,other,Seller refurbished,530.0
other,other,Seller refurbished,354.0
other,other,Used,859.0
other,other,Seller refurbished,1724.0
other,other,Used,812.0
auo,other,New,70.3
other,other,For parts or not working,22.34
other,other,Used,269.5
other,other,New,92.1
other,other,Excellent - Refurbished,240.2
other,black,Seller refurbished,357.0
other,other,Used,436.0
dell,other,Used,144.0
dell,black,Used,430.2
other,other,Seller refurbished,276.5
other,other,New,165.0
dell,black,Used,323.8
other,other,New,88.7
other,other,New,110.06
other,other,Seller refurbished,475.5
other,other,Used,48.84
other,other,Used,627.0
dell,black,Used,443.8
other,other,Seller refurbished,650.5
other,other,New,94.1
other,black,Used,269.2
other,other,Excellent - Refurbished,425.2
other,other,Seller refurbished,546.5
other,other,Used,1752.0
other,black,Seller refurbished,2108.0
lg,other,New,93.75
other,other,New,81.9
other,other,New,113.75
other,other,Used,358.8
other,other,Used,301.5
other,other,New,103.2
other,other,New,108.06
other,other,New,91.2
