,MEMORY_ID,HARD_DRIVE,HARD_DRIVE_CAPACITY_UNIT,SSD_CAPACITY,SSD_CAPACITY_UNIT
0,M0,512,gb,1,tb
1,M1,500,gb,500,gb
2,M2,16,gb,240,unknown
3,M3,256,unknown,256,gb
4,M4,256,unknown,16,gb
5,M5,16,gb,16,gb
6,M6,16,gb,240,unknown
7,M7,512,gb,500,gb
8,M8,256,unknown,64,gb
9,M9,256,unknown,128,gb
10,M10,256,unknown,240,unknown
11,M11,256,unknown,32,gb
12,M12,256,gb,256,gb
13,M13,512,gb,512,gb
14,M14,128,gb,128,gb
15,M15,256,unknown,512,gb
16,M16,128,gb,128,gb
17,M17,16,gb,16,gb
18,M18,2,tb,240,unknown
19,M19,1,tb,1,tb
20,M20,256,unknown,512,gb
21,M21,256,gb,256,gb
22,M22,256,unknown,240,unknown
23,M23,256,unknown,512,gb
24,M24,128,gb,128,gb
25,M25,256,unknown,16,gb
26,M26,2,tb,2,tb
27,M27,256,unknown,240,unknown
28,M28,512,gb,512,gb
29,M29,512,gb,512,gb
30,M30,2,tb,240,unknown
31,M31,256,unknown,128,gb
32,M32,256,unknown,512,gb
33,M33,256,gb,256,gb
34,M34,256,unknown,512,gb
35,M35,256,gb,256,gb
36,M36,512,gb,512,gb
37,M37,256,unknown,256,gb
38,M38,12,gb,512,gb
39,M39,256,unknown,256,gb
40,M40,512,gb,512,gb
41,M41,8,gb,240,unknown
42,M42,256,unknown,512,gb
43,M43,16,gb,16,gb
44,M44,256,unknown,512,gb
45,M45,256,gb,256,gb
46,M46,16,gb,16,gb
47,M47,256,gb,256,gb
48,M48,16,gb,16,gb
49,M49,16,gb,16,gb
50,M50,256,gb,256,gb
51,M51,256,unknown,240,unknown
52,M52,320,gb,120,gb
53,M53,512,gb,240,unknown
54,M54,256,unknown,256,gb
55,M55,256,unknown,512,gb
56,M56,256,gb,256,gb
57,M57,16,gb,16,gb
58,M58,128,gb,128,gb
59,M59,1,tb,1,tb
60,M60,500,gb,500,gb
61,M61,500,gb,500,gb
62,M62,256,unknown,512,gb
63,M63,256,unknown,256,gb
64,M64,500,gb,500,gb
65,M65,256,unknown,240,unknown
66,M66,180,gb,240,unknown
67,M67,256,unknown,256,gb
68,M68,256,gb,256,gb
69,M69,256,unknown,32,gb
70,M70,12,gb,512,gb
71,M71,256,unknown,512,gb
72,M72,512,gb,512,gb
73,M73,512,gb,512,gb
74,M74,512,gb,512,gb
75,M75,256,unknown,240,unknown
76,M76,256,unknown,240,gb
77,M77,256,unknown,128,gb
78,M78,256,unknown,240,unknown
79,M79,256,unknown,256,gb
80,M80,256,unknown,256,gb
81,M81,256,gb,256,gb
82,M82,256,unknown,512,gb
83,M83,256,gb,256,gb
84,M84,256,unknown,240,unknown
85,M85,32,gb,32,gb
86,M86,256,unknown,128,gb
87,M87,256,unknown,256,gb
88,M88,128,gb,128,gb
89,M89,256,unknown,240,unknown
90,M90,32,gb,32,gb
91,M91,256,unknown,240,unknown
92,M92,16,gb,16,gb
93,M93,500,gb,500,gb
94,M94,512,gb,512,gb
95,M95,256,unknown,240,unknown
96,M96,256,unknown,240,unknown
97,M97,256,unknown,240,unknown
98,M98,256,unknown,480,gb
99,M99,256,unknown,240,unknown
100,M100,256,unknown,240,unknown
101,M101,256,unknown,256,gb
102,M102,256,unknown,240,gb
103,M103,256,unknown,256,gb
104,M104,256,unknown,240,unknown
105,M105,256,unknown,256,gb
106,M106,256,unknown,256,gb
107,M107,256,unknown,240,unknown
108,M108,256,unknown,240,unknown
109,M109,256,unknown,240,unknown
110,M110,256,unknown,240,unknown
111,M111,256,unknown,480,gb
112,M112,256,unknown,240,unknown
113,M113,256,unknown,240,unknown
114,M114,256,unknown,240,gb
115,M115,128,gb,128,gb
116,M116,256,gb,256,gb
117,M117,256,unknown,240,unknown
118,M118,256,unknown,128,gb
119,M119,256,gb,256,gb
120,M120,256,gb,256,gb
121,M121,256,unknown,240,unknown
122,M122,256,unknown,240,unknown
123,M123,256,unknown,240,gb
124,M124,256,unknown,240,unknown
125,M125,256,unknown,240,unknown
126,M126,256,unknown,240,unknown
127,M127,160,gb,240,unknown
128,M128,256,unknown,240,unknown
129,M129,256,unknown,240,unknown
130,M130,256,unknown,240,unknown
131,M131,256,gb,256,gb
132,M132,256,unknown,240,unknown
133,M133,256,unknown,240,gb
134,M134,64,gb,64,gb
135,M135,256,gb,256,gb
136,M136,256,unknown,512,gb
137,M137,256,unknown,240,unknown
138,M138,256,unknown,240,unknown
139,M139,256,unknown,240,unknown
140,M140,256,unknown,240,unknown
141,M141,500,gb,120,gb
142,M142,256,unknown,240,unknown
143,M143,256,unknown,240,gb
144,M144,256,unknown,240,unknown
145,M145,256,unknown,240,unknown
146,M146,256,unknown,240,unknown
147,M147,256,unknown,240,unknown
148,M148,256,unknown,240,unknown
149,M149,256,unknown,240,unknown
150,M150,256,unknown,240,unknown
151,M151,256,unknown,240,unknown
152,M152,256,unknown,240,unknown
153,M153,256,unknown,240,unknown
154,M154,256,unknown,240,unknown
155,M155,256,unknown,240,unknown
156,M156,256,unknown,240,unknown
157,M157,256,unknown,240,gb
158,M158,240,gb,240,unknown
159,M159,256,unknown,240,gb
160,M160,256,unknown,240,unknown
161,M161,256,unknown,240,unknown
162,M162,256,unknown,120,gb
163,M163,256,unknown,240,unknown
164,M164,256,unknown,240,unknown
165,M165,256,unknown,240,unknown
166,M166,256,unknown,240,unknown
167,M167,256,unknown,240,unknown
168,M168,256,unknown,240,gb
169,M169,256,unknown,240,unknown
170,M170,256,unknown,240,unknown
171,M171,256,unknown,240,unknown
172,M172,256,unknown,240,unknown
173,M173,256,unknown,240,unknown
174,M174,256,unknown,240,unknown
175,M175,256,unknown,240,unknown
176,M176,256,unknown,240,unknown
177,M177,256,unknown,240,unknown
178,M178,256,unknown,240,unknown
179,M179,256,unknown,240,unknown
180,M180,256,unknown,240,unknown
181,M181,256,unknown,240,unknown
182,M182,256,unknown,240,unknown
183,M183,256,unknown,240,unknown
184,M184,256,unknown,240,unknown
185,M185,256,unknown,240,unknown
186,M186,256,unknown,240,unknown
187,M187,256,unknown,240,unknown
188,M188,256,unknown,240,unknown
189,M189,256,unknown,240,unknown
190,M190,256,unknown,240,unknown
191,M191,200,gb,240,unknown
192,M192,256,unknown,240,unknown
193,M193,256,unknown,120,gb
194,M194,256,unknown,240,unknown
195,M195,256,unknown,240,unknown
