,PROCESSOR_ID,PROCESSOR,PROCESSOR_SPEED,PROCESSOR_SPEED_UNIT
0,P0,quad core,3.8,GHz
1,P1,intel core i5-6300u,2.4,GHz
2,P2,intel celeron n,2.4,GHz
3,P3,intel core i5 6th generation,1.4,GHz
4,P4,intel celeron,1.6,GHz
5,P5,intel celeron,1.6,GHz
6,P6,intel celeron dual-core,1.0,GHz
7,P7,i7 7th,2.8,GHz
8,P8,intel core i3 10th generation,2.1,GHz
9,P9,"8350u,  core i5",1.7,GHz
10,P10,intel core i5 12th generation,0.0,unknown
11,P11,intel celeron n,1.1,GHz
12,P12,intel celeron processor n4100,2.8,GHz
13,P13,intel core i5-8259u,3.8,GHz
14,P14,intel core i5 7th generation,0.0,unknown
15,P15,intel core i5 8th generation,1.6,GHz
16,P16,intel celeron,1.1,GHz
17,P17,intel celeron n,1.6,GHz
18,P18,intel core i7 8th generation,4.2,GHz
19,P19,intel core i7 13th generation,4.4,GHz
20,P20,amd ryzen 5,2.3,GHz
21,P21,intel core i5 6th generation,2.6,GHz
22,P22,undefined,0.0,unknown
23,P23,i5-8365u,1.6,GHz
24,P24,intel core i5 4th generation,1.9,GHz
25,P25,intel celeron n,1.1,GHz
26,P26,intel core i5-1135g7,0.0,GHz
27,P27,undefined,0.0,unknown
28,P28,intel core i5 7th generation,3.1,GHz
29,P29,quad core,0.0,GHz
30,P30,intel core i7 8th generation,4.2,GHz
31,P31,intel celeron n3160,1.6,GHz
32,P32,i5-7200u,2.5,GHz
33,P33,intel celeron n4100,0.0,GHz
34,P34,intel core i7 12th generation,3.5,GHz
35,P35,intel core i5-4300u,1.9,GHz
36,P36,i7-7820hq,0.0,GHz
37,P37,intel core i5-4200u,1.6,GHz
38,P38,intel celeron n5100,2.8,GHz
39,P39,intel core i5-8250u,0.0,unknown
40,P40,amd ryzen 5,0.0,GHz
41,P41,intel core i5 6th generation,2.4,GHz
42,P42,intel core i7 13th gen,0.0,unknown
43,P43,intel celeron,2.16,GHz
44,P44,intel core i3 6th generation,2.3,GHz
45,P45,intel i5,2.3,GHz
46,P46,intel celeron,0.0,unknown
47,P47,intel core i5,0.0,unknown
48,P48,intel celeron n,1.6,GHz
49,P49,amd a4 dual-core,1.6,GHz
50,P50,intel core i7 6th generation,2.6,GHz
51,P51,not applicable,0.0,unknown
52,P52,intel core i5 2nd generation,2.5,GHz
53,P53,nvidia tegra 3,2.6,GHz
54,P54,i5-7300hq,2.5,GHz
55,P55,core i7,2.8,GHz
56,P56,intel core i5 6th generation,2.6,GHz
57,P57,intel celeron,1.6,GHz
58,P58,intel core i3-6100u,2.3,GHz
59,P59,intel core i5-1135g7,4.2,GHz
60,P60,intel i7-q740 1.73ghz,1.73,GHz
61,P61,intel core i5 6th generation,2.4,GHz
62,P62,intel core i7 6th generation,2.7,GHz
63,P63,intel core i7 8th generation,1.8,GHz
64,P64,intel core i5 8th generation,2.6,GHz
65,P65,intel core i7,0.0,unknown
66,P66,intel core i5-3320m,2.6,GHz
67,P67,intel core i5 11th generation,2.4,GHz
68,P68,intel core i5 6th generation,2.4,GHz
69,P69,mediatek mt8183,2.0,GHz
70,P70,intel celeron,2.8,GHz
71,P71,intel core i5 13th generation,2.1,GHz
72,P72,intel core i5 10th generation,1.7,GHz
73,P73,intel core i7 6th generation,0.0,unknown
74,P74,intel core i7 6th generation,2.6,GHz
75,P75,intel core i5 6th generation,2.4,GHz
76,P76,intel core i5 6th gen,2.4,GHz
77,P77,intel celeron,2.2,GHz
78,P78,undefined,0.0,unknown
79,P79,intel core i5-8265u,1.6,GHz
80,P80,intel core i5 8th generation,1.7,GHz
81,P81,intel core i3 11th generation,1.8,GHz
82,P82,intel core i5-10310u,1.7,GHz
83,P83,intel core i7 4th generation,2.1,GHz
84,P84,undefined,0.0,unknown
85,P85,intel celeron n,2.48,GHz
86,P86,intel celeron,1.1,GHz
87,P87,amd ryzen 3pro,0.0,unknown
88,P88,intel celeron n,1.1,GHz
89,P89,undefined,0.0,unknown
90,P90,intel celeron n,1.1,GHz
91,P91,intel core i5 8th generation,0.0,unknown
92,P92,celeron n2930,0.0,unknown
93,P93,intel core i7 7th generation,2.6,GHz
94,P94,intel core i7 8th generation,1.9,GHz
95,P95,undefined,0.0,unknown
96,P96,undefined,0.0,unknown
97,P97,not applicable,0.0,unknown
98,P98,intel core i5 4th generation,0.0,unknown
99,P99,undefined,0.0,unknown
100,P100,undefined,0.0,unknown
101,P101,intel core i5 4th generation,2.0,GHz
102,P102,intel core 2 duo,2.0,GHz
103,P103,8250u,1.6,GHz
104,P104,undefined,0.0,unknown
105,P105,intel core i5 10th generation,1.6,GHz
106,P106,intel core i3 12th generation,1.2,GHz
107,P107,undefined,0.0,unknown
108,P108,undefined,0.0,unknown
109,P109,not applicable,0.0,unknown
110,P110,undefined,0.0,unknown
111,P111,intel core i5 4th generation,2.6,GHz
112,P112,undefined,0.0,unknown
113,P113,"ntel,",0.0,unknown
114,P114,intel core i5 6th generation,2.8,GHz
115,P115,intel celeron n,1.1,GHz
116,P116,intel celeron,0.0,unknown
117,P117,undefined,0.0,unknown
118,P118,intel core m-5y71,1.2,GHz
119,P119,intel core i7 7th generation,2.5,GHz
120,P120,intel core i5 11th generation,2.4,GHz
121,P121,undefined,0.0,unknown
122,P122,undefined,0.0,unknown
123,P123,intel core i5 6th generation,3.0,GHz
124,P124,undefined,0.0,unknown
125,P125,undefined,0.0,unknown
126,P126,intel core i3 2330m,0.0,unknown
127,P127,intel core 2 duo,2.0,GHz
128,P128,undefined,0.0,unknown
129,P129,undefined,0.0,unknown
130,P130,undefined,0.0,unknown
131,P131,amd ryzen 5,2.1,GHz
132,P132,undefined,0.0,unknown
133,P133,intel core i5 6th generation,3.0,GHz
134,P134,intel pentium,1.1,GHz
135,P135,undefined,0.0,unknown
136,P136,intel core i7 13th generation,1.7,GHz
137,P137,intel,0.0,unknown
