,MEMORY_ID,HARD_DRIVE,SSD_CAPACITY
0,M0,512,1000
1,M1,500,500
2,M2,16,240
3,M3,256,256
4,M4,256,16
5,M5,16,16
6,M6,16,240
7,M7,512,500
8,M8,256,64
9,M9,256,128
10,M10,256,240
11,M11,256,32
12,M12,256,256
13,M13,512,512
14,M14,128,128
15,M15,256,512
16,M16,128,128
17,M17,16,16
18,M18,2000,240
19,M19,1000,1000
20,M20,256,512
21,M21,256,256
22,M22,256,240
23,M23,256,512
24,M24,128,128
25,M25,256,16
26,M26,2000,2000
27,M27,256,240
28,M28,512,512
29,M29,512,512
30,M30,2000,240
31,M31,256,128
32,M32,256,512
33,M33,256,256
34,M34,256,512
35,M35,256,256
36,M36,512,512
37,M37,256,256
38,M38,12,512
39,M39,256,256
40,M40,512,512
41,M41,8,240
42,M42,256,512
43,M43,16,16
44,M44,256,512
45,M45,256,256
46,M46,16,16
47,M47,256,256
48,M48,16,16
49,M49,16,16
50,M50,256,256
51,M51,256,240
52,M52,320,120
53,M53,512,240
54,M54,256,256
55,M55,256,512
56,M56,256,256
57,M57,16,16
58,M58,128,128
59,M59,1000,1000
60,M60,500,500
61,M61,500,500
62,M62,256,512
63,M63,256,256
64,M64,500,500
65,M65,256,240
66,M66,180,240
67,M67,256,256
68,M68,256,256
69,M69,256,32
70,M70,12,512
71,M71,256,512
72,M72,512,512
73,M73,512,512
74,M74,512,512
75,M75,256,240
76,M76,256,240
77,M77,256,128
78,M78,256,240
79,M79,256,256
80,M80,256,256
81,M81,256,256
82,M82,256,512
83,M83,256,256
84,M84,256,240
85,M85,32,32
86,M86,256,128
87,M87,256,256
88,M88,128,128
89,M89,256,240
90,M90,32,32
91,M91,256,240
92,M92,16,16
93,M93,500,500
94,M94,512,512
95,M95,256,240
96,M96,256,240
97,M97,256,240
98,M98,256,480
99,M99,256,240
100,M100,256,240
101,M101,256,256
102,M102,256,240
103,M103,256,256
104,M104,256,240
105,M105,256,256
106,M106,256,256
107,M107,256,240
108,M108,256,240
109,M109,256,240
110,M110,256,240
111,M111,256,480
112,M112,256,240
113,M113,256,240
114,M114,256,240
115,M115,128,128
116,M116,256,256
117,M117,256,240
118,M118,256,128
119,M119,256,256
120,M120,256,256
121,M121,256,240
122,M122,256,240
123,M123,256,240
124,M124,256,240
125,M125,256,240
126,M126,256,240
127,M127,160,240
128,M128,256,240
129,M129,256,240
130,M130,256,240
131,M131,256,256
132,M132,256,240
133,M133,256,240
134,M134,64,64
135,M135,256,256
136,M136,256,512
137,M137,256,240
138,M138,256,240
139,M139,256,240
140,M140,256,240
141,M141,500,120
142,M142,256,240
143,M143,256,240
144,M144,256,240
145,M145,256,240
146,M146,256,240
147,M147,256,240
148,M148,256,240
149,M149,256,240
150,M150,256,240
151,M151,256,240
152,M152,256,240
153,M153,256,240
154,M154,256,240
155,M155,256,240
156,M156,256,240
157,M157,256,240
158,M158,240,240
159,M159,256,240
160,M160,256,240
161,M161,256,240
162,M162,256,120
163,M163,256,240
164,M164,256,240
165,M165,256,240
166,M166,256,240
167,M167,256,240
168,M168,256,240
169,M169,256,240
170,M170,256,240
171,M171,256,240
172,M172,256,240
173,M173,256,240
174,M174,256,240
175,M175,256,240
176,M176,256,240
177,M177,256,240
178,M178,256,240
179,M179,256,240
180,M180,256,240
181,M181,256,240
182,M182,256,240
183,M183,256,240
184,M184,256,240
185,M185,256,240
186,M186,256,240
187,M187,256,240
188,M188,256,240
189,M189,256,240
190,M190,256,240
191,M191,200,240
192,M192,256,240
193,M193,256,120
194,M194,256,240
195,M195,256,240
196,M196,256,240
197,M197,256,240
198,M198,256,240
199,M199,256,480
200,M200,256,240
201,M201,256,256
202,M202,256,240
203,M203,256,240
204,M204,256,240
205,M205,256,240
206,M206,256,240
207,M207,256,240
208,M208,256,240
209,M209,256,240
210,M210,256,240
211,M211,256,240
212,M212,256,240
213,M213,256,240
214,M214,256,240
215,M215,256,240
216,M216,256,240
217,M217,256,240
218,M218,256,240
219,M219,256,240
220,M220,256,240
221,M221,256,240
222,M222,256,240
223,M223,256,960
224,M224,256,240
225,M225,256,240
226,M226,256,240
227,M227,256,240
228,M228,256,2000
229,M229,256,240
230,M230,256,240
