,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
0,S0,14.0,gray,2160,1440
1,S1,14.0,black,1920,1080
2,S2,11.6,black,1366,768
3,S3,12.5,other,1366,768
4,S4,11.6,black,1366,768
5,S5,11.6,black,1920,1080
6,S6,11.6,gray,1920,1080
7,S7,14.0,black,1920,1080
8,S8,14.0,silver,1920,1080
9,S9,14.0,black,1920,1080
10,S10,13.3,other,1920,1080
11,S11,11.6,silver,1366,768
12,S12,14.1,gray,1920,1080
13,S13,14.0,gray,2160,1440
14,S14,2.0,black,1920,1080
15,S15,15.6,black,1920,1080
16,S16,11.0,black,1366,768
17,S17,11.6,gray,1366,768
18,S18,14.0,black,1920,1080
19,S19,16.0,other,2560,1600
20,S20,14.0,silver,1920,1080
21,S21,12.5,black,1920,1080
22,S22,8.43,other,1920,1080
23,S23,13.0,silver,3000,2000
24,S24,12.0,gray,2160,1440
25,S25,11.6,black,1366,768
26,S26,15.6,silver,1920,1080
27,S27,8.43,other,1920,1080
28,S28,15.6,black,1920,1080
29,S29,15.6,gray,1920,1080
30,S30,14.0,black,1920,1080
31,S31,11.6,black,1366,768
32,S32,15.6,black,1920,1080
33,S33,14.1,gray,1920,1080
34,S34,16.0,gray,2560,1600
35,S35,14.0,brown,1920,1080
36,S36,15.61,black,1920,1080
37,S37,14.0,black,1366,768
38,S38,13.5,gray,2256,1504
39,S39,14.0,black,1920,1080
40,S40,15.6,black,1920,1080
41,S41,14.0,black,1920,1080
42,S42,17.3,black,1920,1080
43,S43,14.0,multicolor,1366,768
44,S44,15.6,black,1920,1080
45,S45,15.6,other,1920,1080
46,S46,11.6,multicolor,1366,768
47,S47,12.5,other,1920,1080
48,S48,11.6,black,1366,768
49,S49,11.6,gray,1366,768
50,S50,12.5,black,1920,1080
51,S51,14.0,other,1920,1080
52,S52,12.5,black,1366,768
53,S53,13.5,silver,3000,2000
54,S54,15.6,black,1920,1080
55,S55,12.5,other,1920,1080
56,S56,14.0,black,1920,1080
57,S57,13.3,black,1366,768
58,S58,11.6,black,1366,768
59,S59,15.6,grey,1920,1080
60,S60,18.4,other,1920,1080
61,S61,14.0,other,1920,1080
62,S62,15.6,other,1920,1080
63,S63,13.3,silver,1920,1080
64,S64,14.0,silver,1920,1080
65,S65,14.0,black,1920,1080
66,S66,12.5,other,1920,1080
67,S67,12.3,silver,2736,1824
68,S68,14.0,black,1920,1080
69,S69,10.1,gray,1920,1200
70,S70,15.6,silver,1920,1200
71,S71,15.6,blue,1920,1080
72,S72,14.0,gray,1920,1080
73,S73,15.6,other,1920,1080
74,S74,14.1,black,2560,1440
75,S75,12.0,silver,2160,1440
76,S76,14.0,black,1366,768
77,S77,13.0,gray,1366,768
78,S78,8.43,other,1920,1080
79,S79,15.6,other,1920,1080
80,S80,14.0,other,1920,1080
81,S81,15.6,gray,1920,1080
82,S82,14.0,gray,1920,1080
83,S83,11.6,silver,1366,768
84,S84,7.2,multicolor,1920,1080
85,S85,11.6,gray,1366,768
86,S86,11.6,black,1366,768
87,S87,14.0,silver,1920,1080
88,S88,14.0,gray,1366,768
89,S89,8.43,other,1920,1080
90,S90,11.6,gray,1366,768
91,S91,14.1,other,1920,1080
92,S92,11.6,other,1920,1080
93,S93,12.5,other,1920,1080
94,S94,13.3,other,1920,1080
95,S95,8.43,other,1920,1080
96,S96,8.43,other,1920,1080
97,S97,8.43,other,1920,1080
98,S98,14.0,other,1280,720
99,S99,8.43,other,1920,1080
100,S100,8.43,other,1920,1080
101,S101,14.0,black,1366,768
102,S102,14.0,multicolor,1280,800
