,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
0,other,303.8,intel,windows,NO,NO,512,1,NO,YES,gray
1,dell,175.0,intel,windows,NO,YES,500,500,YES,YES,black
2,hp,85.0,intel,chrome,YES,YES,16,240,YES,YES,black
3,dell,101.25,other,windows,NO,YES,256,256,YES,YES,other
4,acer,50.0,other,chrome,NO,NO,256,16,NO,YES,black
5,hp,39.6,other,chrome,YES,YES,16,16,NO,NO,black
6,acer,35.0,other,chrome,NO,YES,16,240,NO,YES,gray
7,dell,280.0,other,windows,NO,NO,512,500,NO,NO,black
8,hp,125.0,intel,chrome,NO,NO,256,64,NO,NO,silver
9,lenovo,138.0,intel,windows,YES,YES,256,128,NO,YES,black
10,samsung,430.5,other,unknown,NO,NO,256,240,NO,YES,other
11,acer,70.0,intel,chrome,NO,NO,256,32,NO,NO,silver
12,other,152.0,intel,windows,NO,YES,256,256,NO,NO,gray
13,other,244.0,intel,windows,NO,NO,512,512,NO,NO,gray
14,dell,170.0,other,windows,NO,YES,128,128,NO,NO,black
15,dell,218.0,intel,unknown,YES,YES,256,512,NO,YES,black
16,dell,130.0,intel,windows,YES,YES,128,128,NO,YES,black
17,acer,40.0,intel,chrome,YES,YES,16,16,NO,YES,gray
18,dell,393.0,intel,windows,NO,YES,2,240,NO,YES,black
19,dell,625.0,other,windows,NO,YES,1,1,YES,YES,other
20,dell,315.0,amd,windows,NO,YES,256,512,NO,YES,silver
21,dell,200.0,intel,windows,NO,NO,256,256,NO,NO,black
22,other,227.4,other,unknown,NO,YES,256,240,NO,YES,other
23,hp,300.0,intel,unknown,NO,NO,256,512,NO,NO,silver
24,microsoft,60.0,other,windows,YES,YES,128,128,NO,YES,gray
25,lenovo,45.0,intel,chrome,NO,NO,256,16,NO,NO,black
26,hp,439.0,intel,windows,YES,YES,2,2,NO,YES,silver
27,other,206.6,other,unknown,NO,YES,256,240,NO,YES,other
28,dell,345.0,intel,windows,NO,NO,512,512,NO,NO,black
29,other,242.0,intel,windows,NO,YES,512,512,YES,YES,gray
30,hp,420.0,intel,windows,NO,YES,2,240,NO,YES,black
31,lenovo,73.0,other,windows,NO,YES,256,128,YES,YES,black
32,hp,209.0,intel,windows,YES,YES,256,512,NO,YES,black
33,other,150.0,intel,windows,NO,YES,256,256,NO,YES,gray
34,lenovo,799.0,nvidia,windows,NO,YES,256,512,NO,YES,gray
35,lenovo,100.0,intel,unknown,NO,YES,256,256,NO,NO,brown
36,dell,219.0,other,windows,YES,NO,512,512,NO,NO,black
37,dell,152.5,intel,windows,NO,NO,256,256,NO,YES,black
38,other,269.5,intel,windows,NO,YES,12,512,YES,YES,gray
39,lenovo,130.0,other,unknown,NO,YES,256,256,NO,YES,black
40,dell,489.0,amd,windows,YES,NO,512,512,NO,YES,black
41,dell,120.0,other,unknown,NO,YES,8,240,NO,NO,black
42,lg,550.0,other,windows,YES,YES,256,512,NO,YES,black
43,hp,29.98,other,chrome,NO,NO,16,16,NO,NO,multicolor
44,hp,145.0,intel,windows,NO,NO,256,512,NO,NO,black
45,dell,160.0,other,windows,NO,YES,256,256,NO,YES,other
46,hp,85.0,intel,chrome,NO,NO,16,16,NO,NO,multicolor
47,microsoft,69.6,other,unknown,NO,YES,256,256,NO,YES,other
48,hp,70.0,intel,chrome,NO,YES,16,16,NO,YES,black
49,hp,49.0,other,chrome,YES,YES,16,16,YES,YES,gray
50,dell,130.0,intel,windows,NO,YES,256,256,NO,YES,black
51,lenovo,135.0,other,unknown,YES,YES,256,240,NO,YES,other
52,lenovo,81.0,other,windows,NO,NO,320,120,NO,NO,black
53,microsoft,103.75,other,unknown,YES,YES,512,240,NO,YES,silver
54,dell,200.0,nvidia,windows,YES,YES,256,256,NO,YES,black
55,dell,288.0,intel,windows,NO,YES,256,512,NO,YES,other
56,dell,105.0,other,windows,YES,NO,256,256,YES,NO,black
57,dell,39.94,other,chrome,NO,NO,16,16,NO,YES,black
58,lenovo,90.0,other,windows,NO,YES,128,128,NO,YES,black
59,lenovo,599.0,intel,windows,YES,NO,1,1,NO,NO,grey
60,other,800.0,other,windows,YES,YES,500,500,NO,YES,other
61,dell,170.0,other,unknown,NO,NO,500,500,NO,NO,other
62,dell,239.0,other,windows,NO,NO,256,512,NO,NO,other
63,dell,169.0,intel,windows,NO,NO,256,256,NO,NO,silver
64,hp,290.0,intel,windows,NO,YES,500,500,NO,YES,silver
65,dell,90.0,other,unknown,NO,NO,256,240,NO,NO,black
66,lenovo,105.0,other,unknown,NO,NO,180,240,NO,NO,other
67,microsoft,409.0,intel,windows,NO,NO,256,256,NO,NO,silver
68,dell,200.0,intel,windows,YES,YES,256,256,NO,YES,black
69,lenovo,55.0,mali,chrome,YES,YES,256,32,NO,YES,gray
70,other,225.0,amd,windows,YES,YES,12,512,NO,YES,silver
71,hp,659.0,nvidia,windows,NO,YES,256,512,NO,YES,blue
72,dell,229.0,intel,unknown,NO,NO,512,512,NO,NO,gray
73,hp,210.0,other,unknown,NO,YES,512,512,NO,YES,other
74,lenovo,180.0,intel,windows,NO,NO,512,512,NO,NO,black
75,other,675.0,other,windows,NO,YES,256,240,NO,YES,silver
76,dell,125.94,intel,windows,YES,YES,256,240,NO,YES,black
77,lenovo,90.0,intel,windows,NO,YES,256,128,NO,YES,gray
78,other,271.8,other,unknown,NO,YES,256,240,NO,YES,other
79,hp,999.0,other,unknown,NO,NO,256,256,NO,NO,other
80,lenovo,229.0,other,windows,NO,NO,256,256,NO,YES,other
81,asus,293.0,intel,windows,NO,YES,256,256,YES,YES,gray
82,dell,185.0,other,unknown,NO,YES,256,512,NO,YES,gray
83,hp,259.0,intel,windows,NO,YES,256,256,NO,YES,silver
84,other,115.0,other,linux,YES,YES,256,240,NO,YES,multicolor
85,acer,41.0,intel,chrome,NO,NO,32,32,NO,NO,gray
86,dell,75.0,other,windows,YES,NO,256,128,NO,NO,black
87,hp,510.0,other,unknown,YES,NO,256,256,NO,NO,silver
88,lenovo,170.0,intel,windows,NO,NO,128,128,NO,NO,gray
89,other,59.8,other,unknown,NO,YES,256,240,NO,YES,other
90,hp,44.75,other,chrome,NO,NO,32,32,NO,NO,gray
91,dell,209.0,other,unknown,YES,YES,256,240,NO,YES,other
92,lenovo,180.0,other,chrome,NO,NO,16,16,NO,NO,other
93,dell,220.0,intel,windows,NO,NO,500,500,NO,NO,other
94,dell,260.0,other,windows,NO,NO,512,512,NO,NO,other
95,other,59.4,other,unknown,NO,NO,256,240,NO,NO,other
96,other,306.8,intel,unknown,NO,NO,256,240,NO,NO,other
97,lenovo,73.0,other,unknown,NO,NO,256,240,NO,NO,other
98,dell,389.8,intel,windows,NO,NO,256,480,NO,NO,other
99,other,107.44,other,unknown,NO,NO,256,240,NO,NO,other
100,other,1179.0,other,unknown,NO,NO,256,240,NO,NO,other
101,dell,300.0,intel,windows,NO,NO,256,256,NO,NO,black
102,hp,69.0,intel,linux,YES,YES,256,240,NO,YES,multicolor
103,lenovo,244.8,intel,windows,NO,NO,256,256,NO,NO,black
104,other,10.52,other,unknown,NO,YES,256,240,NO,NO,other
105,lenovo,370.0,intel,windows,NO,NO,256,256,NO,NO,black
106,lenovo,270.0,intel,windows,YES,NO,256,256,NO,NO,gray
107,other,64.6,other,unknown,YES,YES,256,240,NO,YES,other
108,other,65.06,other,unknown,NO,NO,256,240,NO,NO,other
109,lenovo,61.6,other,unknown,NO,NO,256,240,NO,NO,other
110,other,26.05,other,unknown,NO,NO,256,240,NO,NO,other
111,dell,384.5,intel,windows,NO,NO,256,480,NO,NO,other
112,other,13.02,other,unknown,NO,NO,256,240,NO,NO,other
113,dell,24.25,other,unknown,NO,NO,256,240,NO,NO,other
114,dell,470.5,intel,windows,NO,NO,256,240,NO,NO,other
115,acer,90.0,intel,windows,YES,YES,128,128,NO,YES,silver
116,other,420.0,other,windows,NO,YES,256,256,YES,YES,other
117,other,7.26,other,unknown,NO,NO,256,240,NO,NO,other
118,dell,199.0,intel,windows,NO,NO,256,128,NO,NO,other
119,microsoft,200.0,intel,windows,NO,NO,256,256,NO,NO,silver
120,hp,390.0,intel,windows,YES,YES,256,256,NO,YES,silver
121,other,582.5,other,unknown,NO,YES,256,240,NO,YES,other
122,other,42.3,other,unknown,NO,NO,256,240,NO,NO,other
123,other,405.5,intel,windows,NO,NO,256,240,NO,NO,other
124,other,298.8,intel,unknown,NO,YES,256,240,NO,YES,other
125,other,81.4,other,unknown,NO,NO,256,240,NO,NO,other
126,other,380.0,other,unknown,NO,NO,256,240,NO,NO,other
127,dell,125.0,other,windows,NO,NO,160,240,NO,NO,black
128,other,111.5,other,unknown,NO,NO,256,240,NO,NO,other
129,other,78.2,other,unknown,NO,NO,256,240,NO,NO,other
130,other,32.56,other,unknown,NO,NO,256,240,NO,NO,other
131,lenovo,250.0,other,windows,NO,NO,256,256,NO,NO,black
132,other,344.5,intel,unknown,NO,NO,256,240,NO,NO,black
133,other,405.5,intel,windows,NO,NO,256,240,NO,NO,other
134,hp,140.0,intel,chrome,NO,YES,64,64,NO,YES,silver
135,hp,759.0,other,windows,NO,YES,256,256,NO,YES,other
